source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,within an hour,96%,t,2,t,Entire rental unit,Entire home/apt,4,2,4,"$1,048.00",3,1125,3,3,1125,1125,3,1125,,t,257,10,4.9,f,2,2
city scrape,within an hour,100%,f,61,t,Private room in home,Private room,2,,1,$389.00,1,365,1,1,1125,1125,1,1125,,t,158,1,1,t,48,1
city scrape,within an hour,88%,f,2,t,Private room in rental unit,Private room,1,,1,$693.00,1,14,1,1,14,14,1,14,,t,337,3,5,t,2,0
previous scrape,N/A,100%,f,1,t,Private room in condo,Private room,1,,3,"$1,000.00",2,1125,2,2,1125,1125,2,1125,,t,0,0,,f,1,0
city scrape,within an hour,96%,t,2,t,Entire condo,Entire home/apt,2,1,1,$629.00,2,7,2,2,1125,1125,2,1125,,t,70,10,5,f,2,2
city scrape,within a day,100%,f,1,t,Entire condo,Entire home/apt,2,1,1,"$1,896.00",6,365,6,6,1125,1125,6,1125,,t,265,1,5,f,1,1
city scrape,within an hour,95%,t,1,t,Entire rental unit,Entire home/apt,4,2,2,"$2,085.00",4,90,4,4,90,90,4,90,,t,27,11,5,f,1,1
city scrape,within an hour,92%,t,2,t,Entire rental unit,Entire home/apt,2,1,1,$900.00,1,365,1,1,365,365,1,365,,t,21,0,,f,2,1
city scrape,within a few hours,100%,f,1,t,Entire condo,Entire home/apt,5,3,4,"$1,100.00",2,90,2,2,90,90,2,90,,t,47,1,5,f,1,1
city scrape,within an hour,100%,t,4,t,Private room in home,Private room,2,,1,$500.00,1,365,1,1,365,365,1,365,,t,343,90,4.81,t,4,1
city scrape,within a few hours,100%,f,2,t,Private room in condo,Private room,2,,1,$600.00,1,365,1,1,1125,1125,1,1125,,t,365,1,5,t,2,0
city scrape,within a day,43%,f,1,t,Private room in condo,Private room,1,,1,$560.00,2,1125,2,2,1125,1125,2,1125,,t,329,3,5,f,1,0
city scrape,within an hour,100%,t,4,t,Private room in home,Private room,2,,2,$500.00,1,365,1,1,365,365,1,365,,t,328,90,4.77,t,4,1
city scrape,within an hour,100%,f,1,t,Entire condo,Entire home/apt,4,2,2,"$3,350.00",3,365,3,3,365,365,3,365,,t,67,10,4.9,t,1,1
city scrape,within an hour,100%,f,3,t,Ranch,Entire home/apt,4,2,2,"$2,200.00",1,1125,1,1,1125,1125,1,1125,,t,365,3,5,t,2,1
city scrape,N/A,100%,f,13,t,Entire serviced apartment,Entire home/apt,5,2,4,"$1,021.00",3,365,3,3,1125,1125,3,1125,,t,352,19,4.84,f,8,8
city scrape,within an hour,99%,f,1,t,Entire loft,Entire home/apt,4,1,2,$873.00,1,1125,1,1,1125,1125,1,1125,,t,1,61,4.77,f,1,1
city scrape,within an hour,100%,t,6,t,Entire home,Entire home/apt,4,1,2,"$1,119.00",1,365,1,1,1125,1125,1,1125,,t,154,12,5,t,5,4
city scrape,within a few hours,96%,t,1,t,Entire serviced apartment,Entire home/apt,5,2,3,"$1,225.00",2,90,1,3,1125,1125,1.6,1125,,t,248,12,5,t,1,1
city scrape,within a day,80%,f,3,t,Entire serviced apartment,Entire home/apt,6,3,3,"$2,500.00",4,210,4,4,210,210,4,210,,t,21,3,4.67,f,3,1
city scrape,within a few hours,91%,,3,t,Entire serviced apartment,Entire home/apt,4,2,3,"$1,372.00",3,365,3,3,365,365,3,365,,t,350,12,4.5,f,1,1
city scrape,N/A,67%,f,1,t,Entire serviced apartment,Entire home/apt,2,1,1,$900.00,12,1125,12,12,1125,1125,12,1125,,t,281,2,5,f,1,1
city scrape,within an hour,100%,f,3,t,Private room in condo,Private room,1,,1,$240.00,6,50,6,6,1125,1125,6,1125,,t,35,1,5,f,3,0
city scrape,N/A,69%,f,10,t,Private room in rental unit,Private room,1,,1,"$1,488.00",1,15,1,1,1125,1125,1,1125,,t,179,0,,f,6,0
city scrape,N/A,69%,f,10,t,Shared room in rental unit,Shared room,1,,1,$800.00,1,365,1,1,365,365,1,365,,t,0,0,,t,6,0
city scrape,N/A,N/A,f,6,t,Entire rental unit,Entire home/apt,3,1,2,$906.00,1,1125,1,1,1,1125,1,832,,t,70,15,4.87,f,4,4
city scrape,N/A,69%,f,10,t,Shared room in rental unit,Shared room,1,,1,$750.00,1,365,1,1,365,365,1,365,,t,364,1,3,t,6,0
previous scrape,within an hour,84%,t,2,t,Private room in loft,Private room,2,1,1,$600.00,365,1125,365,365,1125,1125,365,1125,,t,355,9,4.78,f,2,0
city scrape,within an hour,97%,f,89,t,Private room in rental unit,Private room,1,1,1,$542.00,1,365,1,3,1125,1125,1,1125,,t,356,7,3.71,t,37,21
city scrape,N/A,100%,f,1,t,Entire condo,Entire home/apt,4,1,1,$900.00,5,365,5,5,365,365,5,365,,t,21,1,5,f,1,1
city scrape,within an hour,83%,f,1,t,Private room in rental unit,Private room,2,,1,$630.00,1,1125,1,1,1125,1125,1,1125,,t,297,10,5,f,1,0
city scrape,within an hour,98%,t,1,t,Entire serviced apartment,Entire home/apt,4,2,2,"$1,314.00",1,30,1,1,30,30,1,30,,t,345,24,5,f,1,1
